index,x,y,z
187,7.002011,9.367561,3.624306
188,7.033641,9.554136,3.624401
189,7.088100,9.730807,3.620606
190,7.193211,9.886374,3.612899
191,7.299436,10.041923,3.613181
192,7.380335,10.208202,3.620036
193,7.436502,10.384748,3.625119
194,7.492668,10.561397,3.627608
195,7.555817,10.735182,3.627838
196,7.583966,10.923389,3.627564
197,7.583966,11.123080,3.625951
198,7.583966,11.322708,3.622685
199,7.583966,11.522202,3.620958
200,7.583966,11.721233,3.621007
201,7.552896,11.907088,3.616869
202,7.455486,12.065595,3.608370
203,7.308465,12.183307,3.609509
204,7.147179,12.274594,3.614892
205,6.996138,12.390634,3.615447
206,6.852178,12.524126,3.616791
207,6.690955,12.614994,3.612987
208,6.505431,12.646099,3.610606
209,6.322503,12.684393,3.620773
210,6.151162,12.751099,3.624890
211,5.965611,12.782806,3.613001
212,5.766866,12.782806,3.608019
213,5.567775,12.782806,3.615787
214,5.381034,12.813853,3.617632
215,5.221698,12.911114,3.617242
216,5.099622,13.011135,3.667565
217,5.030022,13.041158,3.779415
218,5.000000,13.032523,3.883702
