index,x,y,z
187,6.043966,4.802806,3.615234
188,6.043966,4.942806,3.617187
189,6.043966,5.082806,3.623047
190,6.043966,5.222806,3.619141
191,6.043966,5.362806,3.617187
192,6.183966,5.502806,3.623047
193,6.323966,5.642806,3.611328
194,6.323966,5.782806,3.621094
195,6.323966,5.922806,3.591797
196,6.323966,6.062806,3.621094
197,6.323966,6.202806,3.623047
198,6.323966,6.342806,3.595703
199,6.323966,6.482806,3.611328
200,6.323966,6.622806,3.623047
201,6.323966,6.762806,3.621094
202,6.463966,6.902806,3.607422
203,6.463966,7.042806,3.619141
204,6.463966,7.182806,3.617187
205,6.463966,7.322806,3.619141
206,6.603966,7.462806,3.623047
207,6.603966,7.602806,3.617187
208,6.603966,7.742806,3.626953
209,6.603966,7.882806,3.632812
210,6.603966,8.022806,3.625000
211,6.743966,8.162806,3.630859
212,6.743966,8.302806,3.613281
213,6.743966,8.442806,3.621094
214,6.743966,8.582806,3.619141
215,6.883966,8.722806,3.634766
216,6.883966,8.862806,3.603516
217,6.883966,9.002806,3.617187
218,6.883966,9.142806,3.626953
219,7.023966,9.282806,3.626953
220,7.023966,9.422806,3.619141
221,7.023966,9.562806,3.625000
222,7.023966,9.702806,3.632812
223,7.163966,9.842806,3.605469
224,7.303966,9.982806,3.611328
225,7.303966,10.122806,3.613281
226,7.443966,10.262806,3.626953
227,7.443966,10.402806,3.625000
228,7.443966,10.542806,3.628906
229,7.583966,10.682806,3.626953
230,7.583966,10.822806,3.630859
231,7.583966,10.962806,3.625000
232,7.583966,11.102806,3.630859
233,7.583966,11.242806,3.617187
234,7.583966,11.382806,3.621094
235,7.583966,11.522806,3.623047
236,7.583966,11.662806,3.609375
237,7.583966,11.802806,3.630859
238,7.583966,11.942806,3.623047
239,7.443966,12.082806,3.597656
240,7.303966,12.222806,3.609375
241,7.163966,12.222806,3.625000
242,7.023966,12.362806,3.605469
243,6.883966,12.502806,3.623047
244,6.743966,12.642806,3.621094
245,6.603966,12.642806,3.593750
246,6.463966,12.642806,3.607422
247,6.323966,12.642806,3.621094
248,6.183966,12.782806,3.636719
249,6.043966,12.782806,3.621094
250,5.903966,12.782806,3.597656
251,5.763966,12.782806,3.601563
252,5.623966,12.782806,3.621094
253,5.483966,12.782806,3.621094
254,5.343966,12.782806,3.619141
255,5.203966,12.922806,3.609375
256,5.063966,13.062806,3.630859
257,5.000000,13.032523,3.883702
