# timestamp x y z qx qy qz qw
1780120665.284759998 0.009358310 0.002143360 -0.005625833 0.000180938 -0.005258485 -0.000423828 0.999986068
1780120666.384441614 0.015327344 0.001554201 -0.021859850 -0.003300675 -0.035887268 -0.000117406 0.999350387
1780120667.483868361 0.088754865 0.004396356 -0.045075970 -0.004534290 -0.015479170 -0.012791099 0.999788089
1780120668.483973265 0.528267708 0.064945518 -0.055559239 -0.014003269 0.014301738 0.061091945 0.997931432
1780120669.383528233 0.907800599 0.228276163 -0.077843629 -0.003643758 0.017348185 0.154697793 0.987802792
1780120669.583968401 0.979785565 0.319777493 -0.090903746 0.002666945 0.027096825 0.244809914 0.969188710
1780120669.784712076 1.032361493 0.429036177 -0.099664904 -0.005879895 0.013060647 0.342742556 0.939320173
1780120669.984746695 1.070452317 0.552797682 -0.112819526 -0.009405262 0.019532537 0.429729710 0.902697290
1780120670.681534767 1.227430303 0.888904587 -0.146764971 -0.002709933 0.027917523 0.510784377 0.859251179
1780120671.684082270 1.443929118 1.357945380 -0.169381480 0.003097015 0.026893022 0.502214212 0.864319420
1780120672.383959055 1.682165864 1.661600261 -0.187790211 -0.006767722 0.031025755 0.409656154 0.911687137
1780120672.684550762 1.798714499 1.755416422 -0.198623741 -0.013322166 0.022867051 0.329006283 0.943956823
1780120673.083928347 1.981822859 1.819533441 -0.197565328 0.020537175 0.019567012 0.249251556 0.968023253
1780120673.484297991 2.184047289 1.879882942 -0.209686785 0.000216837 0.017438949 0.157346937 0.987389375
1780120673.784051418 2.308646238 1.892640713 -0.220727540 0.006472995 0.009385583 0.069599255 0.997509877
1780120674.084011316 2.432217432 1.853868376 -0.223374394 -0.006074593 0.012021936 -0.043398017 0.998967059
1780120674.584073305 2.628600630 1.792228985 -0.241495251 -0.006244054 0.007744845 -0.132916524 0.991077306
1780120675.084754467 2.802678576 1.694899695 -0.247448872 -0.008227980 0.013391079 -0.229867998 0.973094899
1780120675.584417582 2.974992484 1.527194599 -0.244877601 -0.014624703 0.000126134 -0.335297409 0.941998806
1780120675.884432793 3.054945157 1.401208899 -0.263964091 -0.008112522 0.023219623 -0.424371274 0.905154162
1780120676.484154224 3.150447442 1.172667367 -0.254063502 -0.009431156 0.008057890 -0.514391291 0.857465873
1780120677.084018469 3.221447499 0.919604174 -0.244774438 -0.011374519 0.000993955 -0.599280226 0.800457896
1780120677.584026814 3.221760948 0.711927975 -0.245329673 -0.010474270 -0.010685912 -0.673025500 0.739467902
1780120678.584045172 3.251387434 0.273425470 -0.250451817 -0.009187528 -0.010029588 -0.687822525 0.725751452
1780120679.584110737 3.219273203 -0.192824287 -0.241798614 -0.009704833 0.000403703 -0.725847282 0.687787305
1780120680.684701204 3.181656464 -0.703924406 -0.229097981 -0.011314719 -0.014036131 -0.731949498 0.681120325
1780120681.782787085 3.122382860 -1.234646468 -0.213824448 -0.004522977 -0.000477550 -0.760612469 0.649190255
1780120682.284224987 3.033024584 -1.479466989 -0.187395890 -0.014814608 -0.005562401 -0.827265476 0.561588301
1780120682.583692789 2.913655998 -1.592002960 -0.190876349 0.014761543 0.016031853 0.879554990 -0.475297902
1780120683.083944559 2.712139945 -1.783168749 -0.148595870 0.021700713 0.021434418 0.918148530 -0.395060656
1780120683.784082651 2.417032693 -2.014871645 -0.135286591 0.010111221 0.012229555 0.953372690 -0.301378028
1780120684.084458590 2.258520237 -2.043744793 -0.118782892 0.021671883 0.038482084 0.975804608 -0.214137397
1780120684.384396553 2.105340093 -2.025999588 -0.106837227 0.012796757 0.033434090 0.994463277 -0.098798759
1780120684.684329987 1.982003366 -2.011367277 -0.111536486 0.022590446 0.023866046 0.999383236 -0.012378697
1780120685.784045935 1.568400153 -2.009697077 -0.128673799 0.010546489 0.028701576 0.997642344 -0.061438950
1780120686.084043503 1.493818005 -2.094614752 -0.124568981 0.010391026 0.030392978 0.985311616 -0.167717959
1780120686.384860516 1.443307880 -2.167614301 -0.127600465 0.007755349 0.011443508 0.962270261 -0.271744082
1780120686.684749365 1.454637326 -2.217000010 -0.127060790 0.000359781 0.013505820 0.929317123 -0.369035430
1780120687.184653282 1.453139379 -2.281339133 -0.107979152 -0.003571768 0.015880862 0.878504221 -0.477457196
1780120687.584442139 1.463525109 -2.422043533 -0.105617984 -0.019929289 -0.000173416 -0.829395760 0.558305890
1780120688.684104919 1.344472410 -2.826967206 -0.078450135 -0.017648385 -0.022126062 -0.810546806 0.584989612
1780120689.384002447 1.364145553 -3.072298774 -0.070627146 -0.027169352 0.005970131 -0.759621384 0.649770373
1780120689.783988953 1.409977712 -3.145195296 -0.045143120 -0.031061675 -0.003441630 -0.699328057 0.714117355
1780120690.283876419 1.509656809 -3.302798546 -0.049627871 -0.018860383 -0.001073331 -0.620482668 0.783992597
1780120690.584460735 1.591107584 -3.434983326 -0.060875274 -0.016462435 -0.013681159 -0.513481089 0.857833891
1780120690.784435749 1.665568091 -3.488892919 -0.057915050 -0.017896842 -0.001188655 -0.423258519 0.905831395
1780120691.082713604 1.776885211 -3.517837982 -0.064471982 -0.021326343 0.001203111 -0.305466291 0.951963279
1780120691.383974552 1.887305200 -3.522674981 -0.088535262 -0.015624851 0.025007205 -0.212894960 0.976630042
1780120691.584192276 1.964813821 -3.524103372 -0.094409768 -0.007922512 0.028351884 -0.113511117 0.993100514
1780120691.784051180 2.032757335 -3.492945853 -0.107377844 -0.014777181 0.028100651 -0.023438921 0.999220999
1780120692.084060669 2.123735310 -3.430571771 -0.099825431 0.000652117 0.040842287 0.089949026 0.995108363
1780120692.283965349 2.144236716 -3.377518643 -0.098824520 -0.007606743 0.038787174 0.179447215 0.982973240
1780120692.584015846 2.152801550 -3.296558399 -0.109157719 0.003417688 0.041403964 0.267457390 0.962673660
1780120693.384729624 2.292794618 -3.132481112 -0.115944086 -0.001965893 0.025993541 0.363866174 0.931086397
1780120694.484407187 2.440337143 -2.888709270 -0.133270693 0.009463992 0.023129096 0.432764304 0.901160660
1780120694.984909534 2.485017524 -2.727273533 -0.134805006 -0.005640733 0.024916083 0.508110402 0.860912998
1780120696.084074020 2.570170773 -2.380908084 -0.158945844 0.010083348 0.020949920 0.564109735 0.825372421
1780120697.084075689 2.689460301 -2.015205755 -0.170403238 -0.000243004 0.023605862 0.571816638 0.820041728
1780120698.084225178 2.817973440 -1.585815739 -0.192136109 -0.012195513 0.022727225 0.581176996 0.813368331
1780120698.983971357 3.001976437 -1.222639793 -0.219516472 0.011364634 0.024379271 0.509426859 0.860093467
1780120699.983955383 3.246668172 -0.841483326 -0.234250229 -0.010999136 0.015328799 0.424807903 0.905086898
1780120700.983971119 3.579253538 -0.511468368 -0.268483061 -0.017342496 0.032738208 0.367556894 0.929262814
